Exch ,TradeNo ,Instru ,Symbol ,Series ,Quantity ,Price ,Time ,ExOrderNo ,GatewayordNo ,Buy/Sell ,ProductType ,Order Initiated From ,Order Modified From ,Misc ,Client Order Number ,ScripCode ,OrderType ,Trade Value ,StrPrice 
NSE ,25327562 ,EQUITIES ,INFY ,EQ  ,1 ,1006.60 ,09:49:12 ,1100000000896128 ,030320013 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20013332017 ,1594 ,RL , ,NA 
NSE ,25309475 ,EQUITIES ,HINDUNILVR ,EQ  ,3 ,873.10 ,09:46:52 ,1100000000858663 ,030320012 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20012332017 ,1394 ,RL , ,NA 
NSE ,75192335 ,EQUITIES ,TATASTEEL ,EQ  ,5 ,492.90 ,09:45:58 ,1300000000707764 ,030320011 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20011332017 ,3499 ,RL , ,NA 
NSE ,75190133 ,EQUITIES ,TECHM ,EQ  ,5 ,502.05 ,09:45:30 ,1300000000700921 ,030320010 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20010332017 ,13538 ,RL , ,NA 
NSE ,25292384 ,EQUITIES ,INFY ,EQ  ,2 ,1007.75 ,09:44:36 ,1100000000820162 ,030320009 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20009332017 ,1594 ,RL , ,NA 
NSE ,75182885 ,EQUITIES ,TCS ,EQ  ,1 ,2485.00 ,09:44:03 ,1300000000676697 ,030320008 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20008332017 ,11536 ,RL , ,NA 
NSE ,25283053 ,EQUITIES ,ITC ,EQ  ,9 ,259.25 ,09:43:20 ,1100000000797577 ,030320007 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20007332017 ,1660 ,RL , ,NA 
NSE ,25283054 ,EQUITIES ,ITC ,EQ  ,1 ,259.25 ,09:43:20 ,1100000000797577 ,030320007 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20007332017 ,1660 ,RL , ,NA 
NSE ,50287668 ,EQUITIES ,RELIANCE ,EQ  ,2 ,1276.65 ,09:43:04 ,1200000000820359 ,030320006 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20006332017 ,2885 ,RL , ,NA 
NSE ,259895 ,EQUITIES ,BPCL ,EQ  ,4 ,631.60 ,09:42:33 ,1000000000857520 ,030320005 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20005332017 ,526 ,RL , ,NA 
NSE ,25272937 ,EQUITIES ,HINDPETRO ,EQ  ,4 ,508.65 ,09:42:03 ,1100000000773107 ,030320004 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20004332017 ,1406 ,RL , ,NA 
NSE ,25272938 ,EQUITIES ,HINDPETRO ,EQ  ,1 ,508.65 ,09:42:03 ,1100000000773107 ,030320004 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20004332017 ,1406 ,RL , ,NA 
NSE ,249726 ,EQUITIES ,BAJAJ-AUTO ,EQ  ,1 ,2823.95 ,09:41:05 ,1000000000829455 ,030320003 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20003332017 ,16669 ,RL , ,NA 
NSE ,240070 ,EQUITIES ,DRREDDY ,EQ  ,1 ,2887.25 ,09:39:54 ,1000000000803262 ,030320002 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20002332017 ,881 ,RL , ,NA 
NSE ,233314 ,EQUITIES ,CIPLA ,EQ  ,4 ,590.60 ,09:38:55 ,1000000000782383 ,030320001 ,B ,DELIVERY ,Net.Net HT ,Net.Net HT , ,OFAFY20001332017 ,694 ,RL , ,NA 
