BSE/NSE/ISIN Code,Buy Date,Buy Quantity,Buy Price
BPCL,03/10/2018,4,375.9
DLF,03/10/2018,9,159.1
DRREDDY,03/10/2018,1,2509.5
HINDPETRO,03/10/2018,6,250.0
HINDUNILVR,03/10/2018,1,1626.1
HDIL,03/10/2018,75,21.0
ITC,03/10/2018,5,297.9
INFY,03/10/2018,1,734.7
INFY,03/10/2018,1,737.05
INDIGO,03/10/2018,3,786.55
JSWSTEEL,03/10/2018,2,381.1
LT,03/10/2018,1,1254.95
M&M,03/10/2018,2,812.9
NBCC,03/10/2018,25,58.25
RELIANCE,03/10/2018,1,1220.75
SUNPHARMA,03/10/2018,1,628.3
TATASTEEL,03/10/2018,2,588.75
TATAMOTORS,03/10/2018,6,229.3
TECHM,03/10/2018,1,760.25
RAMCOCEM,03/10/2018,1,639.0
